#{"t_start": 1595540431.7183812, "env_id": null}
r,l,t
-519.796138,147,69.89857
-89.824781,55,124.092421
55.949293,33,144.932658
-391.244158,127,211.424512
48.266183,30,247.100633
-333.658184,107,306.728541
55.602971,27,326.398297
-1300.674931,260,442.557845
33.922564,33,468.600232
100,1,475.743452
-143.222227,61,527.218617
-69.555237,58,575.039362
63.602557,27,594.166061
-81.728306,64,643.993377
-6.776985,41,672.951047
44.668822,31,696.748332
19.702747,37,720.105631
82.624557,21,735.345872
-181.055051,65,792.25691
-49.337614,71,830.992976
-55.231368,51,865.803057
-0.208062,49,893.89992
84.453272,13,909.160949
-44.861032,57,956.057461
-14.962145,47,985.170773
23.200388,36,1011.253335
-130.897815,65,1050.659848
-109.287894,56,1084.266095
52.753997,32,1106.325979
-113.24691,58,1145.262536
93.897062,7,1169.629837
-221.344106,72,1227.365813
-388.004905,670,1450.733019
-355.443178,87,1504.035058
-240.823823,80,1552.090945
-8.32656,51,1581.23209
14.144785,39,1606.122427
-109.279573,59,1641.985171
-4.177407,40,1670.273612
87.068187,14,1696.400228
-239.572876,75,1754.909189
93.22613,9,1767.25384
59.204422,24,1799.370424
-4.759509,40,1829.029587
68.944977,24,1846.057262
-76.595822,51,1892.346419
0.909847,40,1918.963275
-63.856693,53,1953.556187
45.676152,29,1975.553569
-6.265714,55,2003.385936
33.893738,31,2026.056128
-47.550528,73,2061.274741
74.310327,17,2077.468876
-16.291312,45,2121.020211
-14.305063,42,2151.124214
51.846285,31,2175.588243
-50.010938,56,2209.508647
-62.390439,53,2241.876924
13.515502,41,2269.087645
-67.047757,45,2301.439357
-211.426789,71,2346.042887
-88.49732,54,2385.429789
-67.517242,49,2418.307919
62.961145,44,2441.405332
2.524389,47,2472.64952
48.585582,25,2508.245141
-126.866642,56,2546.805136
-35.226185,45,2578.279169
36.997776,39,2601.811002
-76.149013,49,2633.864448
-108.241834,55,2670.72751
-25.56129,53,2715.02541
-12.296899,43,2744.220456
-294.906228,90,2797.041453
-42.868013,50,2829.921161
-102.247682,65,2872.027936
52.964584,28,2893.536396
81.842437,24,2913.218473
-92.991247,62,2949.533699
-226.261421,78,2997.350468
82.509269,16,3012.88731
-174.850951,71,3059.918241
41.517684,47,3086.408973
-126.591189,53,3120.874158
-110.936356,56,3173.415522
44.417168,29,3195.67945
-44.186613,52,3242.540155
-2.238857,49,3285.601817
-151.216896,67,3338.977167
76.705216,17,3355.710204
48.520162,37,3378.834695
-32.720632,57,3409.693225
-42.138815,46,3440.520622
-14.62333,48,3470.818088
